1 A 0.1 0.5 1
2 B 1 0.5 0
3 C 1 0.5 0
4 D 0.1 0.5 2
5 E 1 0.5 0
6 F 1 0.5 0
7 G 1 0.5 0
8 G 1 0.5 0
9 G 1 0.5 0
10 G 0.5 0.5 0
11 G 0.5 0.5 0
12 G 0.5 0.5 0
13 G 0.5 0.5 0
14 G 0.5 0.5 0
15 G 0.5 0.5 0
16 G 0.5 0.5 0
17 G 0.5 0.5 0
18 G 0.5 0.5 0
19 G 0.5 0.5 0
20 G 0.5 0.5 0
21 G 0.5 0.5 0
22 G 0.5 0.5 0
23 G 0.5 0.5 0
24 G 0.5 0.5 0
25 G 0.5 0.5 0
26 G 0.5 0.5 0
27 G 0.5 0.5 0
28 G 0.5 0.5 0
29 G 0.5 0.5 0
30 G 0.5 0.5 0
31 G 0.2 0.8 0
32 G 0.3 0.8 0
33 G 0.4 0.8 0
34 G 0.5 0.8 0
35 G 0.6 0.8 0
36 G 0.6 0.8 0
37 G 0.6 0.8 0
38 G 0.6 0.8 0
39 G 0.6 0.8 0
40 G 0.6 0.8 0
41 G 0.6 0.8 0
    
    
    
2 3 1  
2 5 0.5  
2 6 0.6  
2 7 0.7  
2 8 0.8  
2 9 0.9  
5 10 0.5  
5 11 0.5  
5 12 0.5  
5 13 0.5  
5 14 0.5  
5 15 0.5  
6 16 0.6  
6 17 0.7  
6 18 0.8  
6 19 0.9  
6 20 1  
6 21 1  
6 22 1  
7 23 1  
7 24 1  
7 25 1  
7 26 1  
7 27 1  
7 28 1  
7 29 1  
7 30 1  
7 31 1  
7 32 1  
8 33 0.6  
8 34 0.6  
8 35 0.6  
8 36 0.6  
8 37 0.6  
8 38 0.6  
8 39 0.6  
8 40 0.6  
8 41 0.6  
5 6 0.2  
6 7 0.2  
7 8 0.3  
8 1 0.4  
4 35 0.1  
